3373,582,1,1,1
3373,582,2,1,1
3373,582,3,1,1
3373,582,4,1,1
3373,582,5,1,1
3373,582,6,1,1
3373,582,7,1,1
3373,582,8,1,1
3373,582,9,1,1
3373,582,10,1,1
3373,582,11,1,1
3373,582,12,1,1
3373,582,13,1,1
3373,582,14,1,1
3373,582,15,1,1
3373,582,16,1,1
3373,582,17,1,1
3373,582,18,1,1
3373,582,19,1,1
3373,582,20,1,1
3373,582,21,1,1
3373,582,22,1,1
3373,582,23,1,1
3373,582,24,1,1
3373,582,25,1,1
3373,582,26,1,1
3373,582,27,1,1
3373,582,28,1,1
3373,582,29,1,1
3373,582,30,1,1
3373,582,31,1,1
3373,582,32,1,1
3373,582,33,1,1
3373,582,34,1,1
3373,582,35,1,1
3373,582,36,1,1
3373,582,37,1,1
3373,582,38,1,1
3373,582,39,1,1
3373,582,40,1,1
3373,582,41,1,1
3373,582,42,1,1
3373,582,43,1,1
3373,582,44,1,1
3373,582,45,1,1
3373,582,46,1,1
3373,582,47,1,1
3373,582,48,1,1
3373,582,49,1,1
3373,582,50,1,1
3373,582,51,1,1
3373,582,52,1,1
3373,582,53,1,1
3373,582,54,1,1
3373,582,55,1,1
3373,582,56,1,1
3373,582,57,1,1
3373,582,58,1,1
3373,582,59,1,1
3373,582,60,1,1
3373,582,61,1,1
3373,582,62,1,1
3373,582,63,1,1
3373,582,64,1,1
3373,582,65,1,1
3373,582,66,1,1
3373,582,67,1,1
3373,582,68,1,1
3373,582,69,1,1
3373,582,70,1,1
3373,582,71,1,1
3373,582,72,1,1
3373,582,73,1,1
3373,582,74,1,1
3373,582,75,1,1
3373,582,1,2,1
3373,582,2,2,1
3373,582,3,2,1
3373,582,4,2,1
3373,582,5,2,1
3373,582,6,2,1
3373,582,7,2,1
3373,582,8,2,1
3373,582,9,2,1
3373,582,10,2,1
3373,582,11,2,1
3373,582,12,2,1
3373,582,13,2,1
3373,582,14,2,1
3373,582,15,2,1
3373,582,16,2,1
3373,582,17,2,1
3373,582,18,2,1
3373,582,19,2,1
3373,582,20,2,1
3373,582,21,2,1
3373,582,22,2,1
3373,582,23,2,1
3373,582,24,2,1
3373,582,25,2,1
3373,582,26,2,1
3373,582,27,2,1
3373,582,28,2,1
3373,582,29,2,1
3373,582,30,2,1
