3371,580
3371,579
3372,578
3373,577
3374,576
3375,575
3376,574
3377,573
3378,572
3379,571
3380,570
3380,569
3381,569
3381,568
3382,568
3382,567
3383,566
3384,565
3385,564
3386,563
3387,562
3388,561
3389,560
3390,559
3391,558
3392,557
3392,556
3393,556
3393,555
3394,555
3394,554
3395,554
3395,553
3396,553
3396,552
3397,551
3398,550
3399,549
3400,548
3401,547
3402,546
3403,545
3404,544
3405,543
3406,542
3407,541
3408,540
3409,539
3409,538
3410,538
3410,537
3411,537
3411,536
3412,536
3412,535
3413,535
3413,534
3414,533
3415,532
3416,531
3417,530
3418,529
3419,528
3420,527
3421,526
3422,525
3423,524
3424,523
3425,522
3426,521
3427,520
3428,519
3428,518
3429,518
3429,517
3430,517
3430,516
3431,516
3431,515
3432,515
3432,514
3433,514
3433,513
3434,512
3435,511
3436,510
3437,509
3438,508
3439,507
3440,506
3441,505
3442,504
3443,503
3444,502
3445,501
3446,500
3447,499
3448,498
3449,497
3450,496
3451,495
3452,494
3452,493
3453,493
3453,492
3454,492
3454,491
3455,491
3455,490
3456,490
3456,489
3457,489
3457,488
3458,488
3458,487
3459,487
3459,486
3460,485
3461,484
3462,483
3463,482
3464,481
3465,480
3466,479
3467,478
3468,477
3469,476
3470,475
3471,474
3472,473
3473,472
3474,471
3475,470
3476,469
3477,468
3478,467
3478,466
3479,466
3479,465
3480,465
3480,464
3481,464
3481,463
3482,463
3482,462
3483,462
3483,461
3484,461
3484,460
3485,459
3486,458
3487,457
3488,456
3489,455
3490,454
3491,453
3492,452
3493,451
3494,450
3495,449
3496,448
3497,447
3498,446
3499,445
3500,444
3501,443
3501,442
3502,442
3502,441
3503,441
3503,440
3164,572
3165,572
3166,572
3167,572
3168,572
3169,572
3170,572
3171,572
3172,572
3173,572
3174,572
3175,572
3176,572
3177,572
3178,572
3179,572
3180,572
3181,572
3182,572
3183,572
3184,572
3185,572
3186,572
3187,572
3188,572
3189,573
3190,573
3191,573
3192,573
3193,573
3194,573
3195,573
3196,573
3197,573
3198,573
3199,573
3200,573
3201,573
3202,574
3203,574
3204,574
3205,574
3206,574
3207,574
3208,574
3209,574
3210,574
3211,575
3212,575
3213,575
3214,575
3215,575
3216,575
3217,575
3218,575
3219,576
3220,576
3221,576
3222,576
3223,576
3224,576
3225,577
3226,577
3227,577
3228,577
3229,577
3230,577
3231,578
3232,578
3233,578
3234,578
3235,578
3236,578
3237,579
3238,579
3239,579
3240,579
3241,579
3242,580
3243,580
3244,580
3245,580
3246,581
3247,581
3248,581
3249,581
3250,581
3251,582
3252,582
3253,582
3254,582
3255,583
3256,583
3257,583
3258,583
3259,584
3260,584
3261,584
3262,585
3263,585
3264,585
3265,585
3266,586
3267,586
3268,586
3269,587
3270,587
3271,587
3272,587
3273,588
3274,588
3275,588
3276,589
3277,589
3278,589
3279,590
3280,590
3281,590
3282,591
3283,591
3284,591
3285,592
3286,592
3287,593
3288,593
3289,593
3290,594
3291,594
3292,594
3293,595
3294,595
3295,596
3296,596
3297,596
3298,597
3299,597
3300,598
3301,598
3302,598
3303,599
3304,599
3305,600
3306,600
3307,600
3308,601
3309,601
3310,602
3311,602
3312,603
3313,603
3314,604
3315,604
3316,605
3317,605
3318,606
3319,606
3320,607
3321,607
3322,608
3323,608
3324,609
3325,609
3326,610
3327,610
3328,611
3329,611
3330,612
3331,612
3332,613
3333,613
3334,614
3335,614
3336,615
3337,616
3338,616
1337,298
1338,298
1339,298
1339,297
1340,297
1341,297
1342,297
1343,297
1344,297
1345,297
1346,297
1346,296
1347,296
1348,296
1349,296
1350,296
1351,296
1352,296
1353,296
1353,295
1354,295
1355,295
1356,295
1357,295
1358,295
1359,295
1360,295
1360,294
1361,295
1361,294
1362,294
1363,294
1364,294
1365,294
1366,294
1367,294
1368,294
1368,293
1369,294
1369,293
1370,293
1371,293
1372,293
1373,293
1374,293
1375,293
1376,293
1377,293
1377,292
1378,293
1378,292
1379,292
1380,292
1381,292
1382,292
1383,292
1384,292
1385,292
1386,292
1386,291
1387,292
1387,291
1388,291
1389,291
1390,291
1391,291
1392,291
1393,291
1394,291
1395,291
1396,291
1396,290
1397,291
1397,290
1398,290
1399,290
1400,290
1401,290
1402,290
1403,290
1404,290
1405,290
1406,290
1407,290
1407,289
1408,290
1408,289
2774,385
2775,385
2776,384
2777,384
2778,384
2779,383
2780,383
2781,382
2782,382
2783,381
2784,381
2785,380
2786,380
2787,379
2788,379
2789,379
2790,378
2791,378
2792,377
2793,377
2794,376
2795,376
2796,376
2797,375
2798,375
2799,374
2800,374
2801,373
2802,373
2803,373
2804,372
2805,372
2806,371
2807,371
2808,370
2809,370
2810,370
2811,369
2812,369
2813,368
2814,368
2815,368
2816,367
2817,367
2818,366
2819,366
2820,366
2821,365
2822,365
2823,365
2824,364
2825,364
2826,363
2827,363
2828,363
2829,362
2830,362
2831,361
2832,361
2833,361
2834,360
2835,360
2836,360
2837,359
2838,359
2839,359
2840,358
2841,358
2842,357
2843,357
2844,357
2845,356
2846,356
2847,356
2848,355
2849,355
2850,355
2851,354
2852,354
2853,354
2854,353
2855,353
2856,353
2857,352
2858,352
2859,352
2860,351
2861,351
2862,351
2863,350
2864,350
2865,350
2866,349
2867,349
2868,349
2869,348
2870,348
2871,348
2872,347
2873,347
2874,347
2875,346
2876,346
2877,346
2878,345
2879,345
2880,345
2881,344
2882,344
2883,344
2884,344
2885,343
2886,343
2887,343
2888,342
2889,342
2890,342
2891,341
2892,341
2893,341
2894,341
